Name,Abbrev.,Category,Molecular,OB(CO2),density,gas-phase_formation_enthalpy,sublimation_enthalpy,heat_of_explosion,detonation_velocity,detonation_pressure,gurney_energy,h50(calc),h50(obs),SMILES
"2,2',4,4',6,6'-hexanitrobiphenyl",HNBP,NAC,C12H4N6O12,-52.8,1.779,170.1,250.0,5.59,7.5,247.8,5047.0,43.0,85.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
Tripicryl-s-triazine,,NAC,C21H6N12O18,-60.5,1.787,514.9,412.0,5.29,7.316,236.4,4702.0,77.0,85.0,n1c(nc(nc1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,4,6-Trinitro-1-chlorobenzene",,NAC,C6H2N3O6Cl,-42.0,1.807,60.5,140.0,4.91,7.404,243.8,4507.0,54.0,79.0,N(=O)(=O)c1cc(c(c(c1)N(=O)=O)Cl)N(=O)=O
"2,4,6-Trinitro-acetylbenzene",,NAC,C8H5N3O7,-72.1,1.645,-89.6,154.0,4.88,6.774,192.5,3866.0,164.0,79.0,c1c(c(c(cc1N(=O)=O)N(=O)=O)C(=O)C)N(=O)=O
"3,5-dimethyl-2,4,6-trinitrophenol",,NAC,C8H7N3O7,-77.8,1.639,-169.8,165.0,4.67,6.747,190.6,4005.0,245.0,77.0,Oc1c(c(c(c(c1N(=O)=O)C)N(=O)=O)C)N(=O)=O
"1-Methoxy-3,5-dichloro-2,4,6-trinitrobenzene",,NAC,C7H3N3O7Cl2,-38.5,1.819,-63.1,159.0,4.37,7.253,234.8,4071.0,121.0,75.0,N(=O)(=O)c1c(c(c(c(c1Cl)N(=O)=O)OC)N(=O)=O)Cl
"2-(2,4,6-Trinitrobenzene) ethanol",,NAC,C8H7N3O7,-77.8,1.639,-145.5,170.0,4.74,6.774,192.1,4068.0,155.0,68.0,N(=O)(=O)c1c(c(cc(c1)N(=O)=O)N(=O)=O)CCO
"2,6-bis-(picrylamino)-3,5-dinitropyridine",,NAC,C17H7N11O16,-55.4,1.781,320.6,371.0,5.24,7.438,243.9,4978.0,78.0,63.0,n1c(c(cc(c1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"2,2"",4,4',4"",6,6',6""-octanitro-m-terphenyl",,NAC,C18H6N8O16,-62.3,1.762,279.3,339.0,5.46,7.267,231.3,4631.0,57.0,63.0,c1c(c(cc(c1[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
"3,6-bis-(pricrylamino)-s-tetrazine",,NAC,C14H6N12O12,-56.9,1.783,663.9,327.0,5.3,7.507,248.6,5213.0,163.0,61.0,c1(nnc(nn1)Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
